"","Cong","X","X.1","X.2","State","X.3","Name","Dim1","Dim2","X.4","X.5","X.6","X0.714"
"6214",86,8270,32,0,"KANSAS",200,"SCHOEPPEL",0.3468,-0.0906,-101.22263,324,50,0.747
"6215",86,1510,32,0,"KANSAS",200,"CARLSON",0.2246,-0.3173,-97.55581,334,40,0.769
"6216",86,6745,51,0,"KENTUCK",200,"MORTON",0.2037,-0.4671,-84.53703,322,36,0.651
"6217",86,2052,51,0,"KENTUCK",200,"COOPER",0.0465,-0.3818,-149.34402,348,80,0.727
"6218",86,2901,45,0,"LOUISIA",100,"ELLENDER",0.0019,0.9153,-109.03777,342,54,0.71
"6219",86,5767,45,0,"LOUISIA",100,"LONG",-0.1405,0.8286,-119.11651,348,52,0.742
"6220",86,6831,2,0,"MAINE",100,"MUSKIE",-0.3295,-0.0583,-103.73547,348,52,0.69
"6221",86,8666,2,0,"MAINE",200,"SMITH  M.",0.0993,-0.4028,-133.67155,360,72,0.718
"6222",86,1341,52,0,"MARYLAN",200,"BUTLER",0.374,-0.271,-104.22516,315,46,0.738
"6223",86,546,52,0,"MARYLAN",200,"BEALL",0.1448,-0.5253,-100.50876,331,46,0.819
"6224",86,5180,3,0,"MASSACH",100,"KENNEDY",-0.251,-0.2848,-68.98308,345,26,0.735
"6225",86,8185,3,0,"MASSACH",200,"SALTONSTALL",0.1649,-0.455,-102.89634,334,53,0.85
"6226",86,6366,23,0,"MICHIGA",100,"MCNAMARA",-0.543,-0.0161,-56.87945,350,25,0.831
"6227",86,4148,23,0,"MICHIGA",100,"HART",-0.5069,-0.1971,-66.4136,358,31,0.806
"6228",86,6134,33,0,"MINNESO",100,"MCCARTHY",-0.3552,0.0588,-76.1937,354,27,0.868
"6229",86,4728,33,0,"MINNESO",100,"HUMPHREY",-0.3678,-0.0519,-48.36761,343,20,0.797
"6230",86,2822,46,0,"MISSISS",100,"EASTLAND",0.1289,0.8022,-77.46458,342,36,0.776
"6231",86,8883,46,0,"MISSISS",100,"STENNIS",0.0409,0.8699,-90.39375,356,37,0.82
"6232",86,4328,34,0,"MISSOUR",100,"HENNINGS",-0.3627,-0.0696,-66.27974,333,23,0.781
"6233",86,9141,34,0,"MISSOUR",100,"SYMINGTON",-0.2594,0.1691,-85.09481,344,35,0.818
"6234",86,5967,64,0,"MONTANA",100,"MANSFIELD",-0.3695,0.3954,-64.89268,323,25,0.754
"6235",86,6820,64,0,"MONTANA",100,"MURRAY",-0.3738,0.1539,-100.52866,356,44,0.804
"6236",86,2267,35,0,"NEBRASK",200,"CURTIS",0.4971,-0.1729,-75.65136,346,33,0.803
"6237",86,4660,35,0,"NEBRASK",200,"HRUSKA",0.4403,-0.1343,-78.42102,357,30,0.711
"6238",86,1482,65,0,"NEVADA",100,"CANNON",-0.1609,0.262,-121.12275,355,63,0.746
"6239",86,688,65,0,"NEVADA",100,"BIBLE",-0.1388,0.3708,-102.91492,352,50,0.757
"6240",86,2087,4,0,"NEW HAM",200,"COTTON",0.3832,-0.4469,-92.04253,331,45,0.776
"6241",86,1027,4,0,"NEW HAM",200,"BRIDGES",0.3985,-0.3893,-72.61087,287,35,0.811
"6242",86,10147,12,0,"NEW JER",100,"WILLIAMS  H",-0.3308,-0.2426,-73.12725,349,36,0.756
"6243",86,1569,12,0,"NEW JER",200,"CASE  C.",-0.1256,-1.0073,-99.16753,354,48,0.685
"6244",86,165,66,0,"NEW MEX",100,"ANDERSON",-0.1557,0.1615,-120.80233,319,58,0.669
"6245",86,1678,66,0,"NEW MEX",100,"CHAVEZ",-0.1313,0.2694,-134.71245,335,63,0.783
"6246",86,4898,13,0,"NEW YOR",200,"JAVITS",-0.1371,-0.9878,-85.66131,351,41,0.787
"6247",86,5116,13,0,"NEW YOR",200,"KEATING",0.0474,-0.9765,-85.82958,359,45,0.718
"6248",86,2987,47,0,"NORTH C",100,"ERVIN",0.0316,0.8861,-117.12384,354,56,0.78
"6249",86,5073,47,0,"NORTH C",100,"JORDAN",0.0014,0.762,-84.31023,340,32,0.598
"6250",86,10450,36,0,"NORTH D",200,"YOUNG  M.",0.1878,0.0732,-165.45027,322,83,0.503
"6251",86,5452,36,0,"NORTH D",200,"LANGER",-0.0309,0.1049,-119.01331,173,59,0.736
"6252",86,1167,36,0,"NORTH D",200,"BRUNSDALE",0.334,-0.279,-41.59712,136,23,0.926
"6253",86,1252,36,0,"NORTH D",100,"BURDICK",-0.4033,0.3764,-2.29651,30,0,0.681
"6254",86,10454,24,0,"OHIO",100,"YOUNG  S.",-0.3672,0.0055,-137.24728,357,59,0.578
"6255",86,5500,24,0,"OHIO",100,"LAUSCHE",0.1845,-0.3183,-196.8904,359,93,0.764
"6256",86,6597,53,0,"OKLAHOM",100,"MONRONEY",-0.2227,0.3199,-93.52225,347,41,0.74
"6257",86,5213,53,0,"OKLAHOM",100,"KERR",-0.1259,0.471,-103.60789,344,45,0.788
"6258",86,6738,72,0,"OREGON",100,"MORSE",-0.8236,0.465,-84.42186,355,43,0.819
"6259",86,6882,72,0,"OREGON",100,"NEUBERGER",-0.4926,-0.3766,-42.6517,214,18,0.581
"6260",86,5843,72,0,"OREGON",100,"LUSK",-0.008,-0.205,-71.21674,131,33,0.753
"6261",86,8301,14,0,"PENNSYL",200,"SCOTT",0.1233,-0.7917,-102.06118,359,49,0.793
"6262",86,1776,14,0,"PENNSYL",100,"CLARK  J.",-0.5709,-0.2953,-83.483,360,40,0.765
"6263",86,7229,5,0,"RHODE I",100,"PASTORE",-0.2235,-0.163,-95.68336,358,48,0.75
"6264",86,3783,5,0,"RHODE I",100,"GREEN",-0.1828,0.0562,-97.93762,340,45,0.75
"6265",86,99369,48,0,"SOUTH C",100,"THURMOND",0.3494,0.7671,-102.12556,355,44,0.755
